+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
| 163 | minecraft:mutated_savanna                  | Savanna M               |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold, village |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 168 | netherex:torrid_wasteland                  | Torrid Wasteland        |  4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SAVANNA, WASTELAND                      | stronghold          |
| 169 | netherex:arctic_abyss                      | Arctic Abyss            |  0.00 | COLD     | 0.00 | false | false   |            | COLD, DRY, NETHER, PLAINS, WET                                    | stronghold          |
| 170 | rats:ratlantis                             | ratlantis               |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | stronghold          |
| 171 | srparasites:biome_parasite                 | Parasite Biome          |  0.50 | MEDIUM   | 0.50 | false | false   | COOL       | SPOOKY                                                            | stronghold          |
| 172 | thaumicaugmentation:emptiness              | Emptiness               |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPARSE, SPOOKY, VOID                                        |                     |
| 173 | thaumicaugmentation:tainted_lands          | Tainted Lands           |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPOOKY, VOID                                                |                     |
| 174 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands     |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID                       | stronghold          |
| 175 | theaurorian:aurorianforest                 | Aurorian Forest         |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, FOREST, MAGICAL, PLAINS                                | spawn, stronghold   |
| 176 | theaurorian:aurorianforesthills            | Aurorian Forest Hills   |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, HILLS, MAGICAL, PLAINS                                 | spawn, stronghold   |
| 177 | theaurorian:aurorianplains                 | Aurorian Plains         |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, MAGICAL, PLAINS                                        | spawn, stronghold   |
| 178 | theaurorian:weepingwillowforest            | Weeping Willow Forest   |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, FOREST, HILLS, MAGICAL                                 | spawn, stronghold   |
| 179 | theaurorian:aurorianlakes                  | Aurorian Lakes          |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, MAGICAL, PLAINS, WATER                                 | spawn               |
| 180 | traverse:woodlands                         | Woodlands               |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | stronghold, village |
| 181 | traverse:mini_jungle                       | Mini Jungle             |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           |                     |
| 182 | traverse:meadow                            | Meadow                  |  0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                                                 | stronghold, village |
| 183 | traverse:green_swamp                       | Lush Swamp              |  0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                                  |                     |
| 184 | traverse:red_desert                        | Red Desert              |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                                   | stronghold, village |
| 185 | traverse:temperate_rainforest              | Temperate Rainforest    |  0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                                                | stronghold          |
| 186 | traverse:badlands                          | Badlands                |  0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                                          | stronghold, village |
| 187 | traverse:mountainous_desert                | Mountainous Desert      |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                                         | stronghold          |
| 188 | traverse:rocky_plateau                     | Rocky Plateau           |  0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                                     | stronghold, village |
| 189 | traverse:forested_hills                    | Forested Hills          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | stronghold          |
| 190 | traverse:birch_forested_hills              | Birch Forested Hills    |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | stronghold          |
| 191 | traverse:cliffs                            | Cliffs                  |  0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                                             | stronghold          |
| 192 | traverse:glacier                           | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | stronghold          |
| 193 | traverse:glacier_spikes                    | Glacier Spikes          |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | stronghold          |
| 194 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold          |
| 195 | traverse:lush_hills                        | Lush Hills              |  0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                                          | stronghold, village |
| 196 | traverse:desert_shrubland                  | Desert Shrubland        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                                             | stronghold, village |
| 197 | traverse:thicket                           | Thicket                 |  0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                                     | stronghold          |
| 198 | traverse:arid_highland                     | Arid Highland           |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE                                 | stronghold, village |
| 199 | traverse:rocky_plains                      | Rocky Plains            |  0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                                             | stronghold, village |
| 200 | spookybiomes:sorbus_forest                 | Sorbus Forest           |  0.25 | MEDIUM   | 0.90 | false | false   | WARM       | FOREST, HILLS, WET                                                | stronghold          |
| 201 | spookybiomes:ghostly_forest                | Ghostly Forest          |  0.25 | MEDIUM   | 0.90 | false | false   | COOL       | DEAD, FOREST, HILLS, WET                                          | stronghold          |
| 202 | spookybiomes:seeping_forest                | Seeping Forest          |  0.25 | MEDIUM   | 0.90 | false | false   | WARM       | HILLS, WET                                                        | stronghold          |
| 203 | spookybiomes:bloodied_hills                | Bloodied Hills          |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | FOREST, HILLS, WET                                                | stronghold          |
| 204 | beneath:the_beneath                        | The Beneath             |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 205 | stygian:stygian_growth                     | Stygian Growth          |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
| 206 | stygian:acidic_plains                      | Acidic Plains           |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
