+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE, STEEP                                     | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M               |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold, village |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MESA, MOUNTAIN, RARE, SPARSE                            | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, MESA, RARE, SPARSE                               | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MESA, MOUNTAIN, RARE, SPARSE                            | stronghold          |
| 168 | nuclearcraft:nuclear_wasteland             | Nuclear Wasteland       |  2.00 | WARM     | 0.50 | false | false   |            | HOT, PLAINS                                                       | stronghold          |
| 169 | rats:ratlantis                             | ratlantis               |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | stronghold          |
| 170 | srparasites:biome_parasite                 | Parasite Biome          |  0.50 | MEDIUM   | 0.50 | false | false   | COOL       | SPOOKY                                                            | stronghold          |
| 171 | theaurorian:aurorianforest                 | Aurorian Forest         |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, FOREST, MAGICAL, PLAINS                                | spawn, stronghold   |
| 172 | theaurorian:aurorianforesthills            | Aurorian Forest Hills   |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, HILLS, MAGICAL, PLAINS                                 | spawn, stronghold   |
| 173 | theaurorian:aurorianplains                 | Aurorian Plains         |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, MAGICAL, PLAINS                                        | spawn, stronghold   |
| 174 | theaurorian:weepingwillowforest            | Weeping Willow Forest   |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, FOREST, HILLS, MAGICAL                                 | spawn, stronghold   |
| 175 | theaurorian:aurorianlakes                  | Aurorian Lakes          |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, MAGICAL, PLAINS, WATER                                 | spawn               |
| 176 | spookybiomes:sorbus_forest                 | Sorbus Forest           |  0.25 | MEDIUM   | 0.90 | false | false   | WARM       | FOREST, HILLS, WET                                                | stronghold          |
| 177 | spookybiomes:ghostly_forest                | Ghostly Forest          |  0.25 | MEDIUM   | 0.90 | false | false   | COOL       | DEAD, FOREST, HILLS, WET                                          | stronghold          |
| 178 | spookybiomes:seeping_forest                | Seeping Forest          |  0.25 | MEDIUM   | 0.90 | false | false   | WARM       | HILLS, WET                                                        | stronghold          |
| 179 | spookybiomes:bloodied_hills                | Bloodied Hills          |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | FOREST, HILLS, WET                                                | stronghold          |
| 180 | beneath:the_beneath                        | The Beneath             |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 181 | biometweaker:ancient_underground           | Abyss                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, SPOOKY                                                      |                     |
| 182 | biometweaker:aqua_underground              | Chasm                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, SPOOKY                                                      |                     |
| 183 | biometweaker:underworld_underground        | Underworld              |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, SPOOKY                                                      |                     |
| 184 | stygian:stygian_growth                     | Stygian Growth          |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
| 185 | stygian:acidic_plains                      | Acidic Plains           |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
