+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
| 163 | minecraft:mutated_savanna                  | Savanna M               |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold, village |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 168 | erebus:submerged_swamp                     | Submerged Swamp         |  0.50 | MEDIUM   | 0.50 | false | false   |            | HOT, SWAMP, WATER, WET                                            | stronghold          |
| 169 | erebus:fields_sub_forest                   | Elysian Forest          |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, LUSH, MAGICAL                                             | stronghold          |
| 170 | erebus:petrified_forest                    | Petrified Forest        |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD, DRY, HOT                                                    | stronghold          |
| 171 | netherex:ruthless_sands                    | Ruthless Sands          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SANDY, SAVANNA                          | stronghold          |
| 172 | netherex:fungi_forest                      | Fungi Forest            |  1.10 | WARM     | 0.00 | false | false   |            | COLD, DRY, HOT, MUSHROOM, NETHER, PLAINS, SAVANNA, WET            | stronghold          |
| 173 | netherex:torrid_wasteland                  | Torrid Wasteland        |  4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SAVANNA, WASTELAND                      | stronghold          |
| 174 | netherex:arctic_abyss                      | Arctic Abyss            |  0.00 | COLD     | 0.00 | false | false   |            | COLD, DRY, NETHER, PLAINS, WET                                    | stronghold          |
| 175 | rats:ratlantis                             | ratlantis               |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | stronghold          |
| 176 | srparasites:biome_parasite                 | Parasite Biome          |  0.50 | MEDIUM   | 0.50 | false | false   | COOL       | SPOOKY                                                            | stronghold          |
| 177 | theaurorian:aurorianforest                 | Aurorian Forest         |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, FOREST, MAGICAL, PLAINS                                | spawn, stronghold   |
| 178 | theaurorian:aurorianforesthills            | Aurorian Forest Hills   |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, HILLS, MAGICAL, PLAINS                                 | spawn, stronghold   |
| 179 | theaurorian:aurorianplains                 | Aurorian Plains         |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, MAGICAL, PLAINS                                        | spawn, stronghold   |
| 180 | theaurorian:weepingwillowforest            | Weeping Willow Forest   |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, FOREST, HILLS, MAGICAL                                 | spawn, stronghold   |
| 181 | theaurorian:aurorianlakes                  | Aurorian Lakes          |  0.20 | MEDIUM   | 0.50 | false | false   | COOL       | COLD, DRY, MAGICAL, PLAINS, WATER                                 | spawn               |
| 182 | traverse:woodlands                         | Woodlands               |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | stronghold, village |
| 183 | traverse:mini_jungle                       | Mini Jungle             |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           |                     |
| 184 | traverse:meadow                            | Meadow                  |  0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                                                 | stronghold, village |
| 185 | traverse:green_swamp                       | Lush Swamp              |  0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                                  |                     |
| 186 | traverse:red_desert                        | Red Desert              |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                                   | stronghold, village |
| 187 | traverse:temperate_rainforest              | Temperate Rainforest    |  0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                                                | stronghold          |
| 188 | traverse:badlands                          | Badlands                |  0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                                          | stronghold, village |
| 189 | traverse:mountainous_desert                | Mountainous Desert      |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                                         | stronghold          |
| 190 | traverse:rocky_plateau                     | Rocky Plateau           |  0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                                     | stronghold, village |
| 191 | traverse:forested_hills                    | Forested Hills          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | stronghold          |
| 192 | traverse:birch_forested_hills              | Birch Forested Hills    |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | stronghold          |
| 193 | traverse:cliffs                            | Cliffs                  |  0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                                             | stronghold          |
| 194 | traverse:glacier                           | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | stronghold          |
| 195 | traverse:glacier_spikes                    | Glacier Spikes          |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | stronghold          |
| 196 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold          |
| 197 | traverse:lush_hills                        | Lush Hills              |  0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                                          | stronghold, village |
| 198 | traverse:desert_shrubland                  | Desert Shrubland        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                                             | stronghold, village |
| 199 | traverse:thicket                           | Thicket                 |  0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                                     | stronghold          |
| 200 | traverse:arid_highland                     | Arid Highland           |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE                                 | stronghold, village |
| 201 | traverse:rocky_plains                      | Rocky Plains            |  0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                                             | stronghold, village |
| 202 | spookybiomes:sorbus_forest                 | Sorbus Forest           |  0.25 | MEDIUM   | 0.90 | false | false   | WARM       | FOREST, HILLS, WET                                                | stronghold          |
| 203 | spookybiomes:ghostly_forest                | Ghostly Forest          |  0.25 | MEDIUM   | 0.90 | false | false   | COOL       | DEAD, FOREST, HILLS, WET                                          | stronghold          |
| 204 | spookybiomes:seeping_forest                | Seeping Forest          |  0.25 | MEDIUM   | 0.90 | false | false   | WARM       | HILLS, WET                                                        | stronghold          |
| 205 | spookybiomes:bloodied_hills                | Bloodied Hills          |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | FOREST, HILLS, WET                                                | stronghold          |
| 206 | beneath:the_beneath                        | The Beneath             |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 207 | stygian:stygian_growth                     | Stygian Growth          |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
| 208 | stygian:acidic_plains                      | Acidic Plains           |  0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
